# of users: 4
# of channels: 2
R_fail: 0
R_idle: 0.5
R_succeed: 1
Iteration 100: avg reward is 0.5450, channel utilization is 0.6120
Iteration 200: avg reward is 0.4225, channel utilization is 0.4140
Iteration 300: avg reward is 0.4407, channel utilization is 0.4270
Iteration 400: avg reward is 0.6365, channel utilization is 0.8210
Iteration 500: avg reward is 0.6558, channel utilization is 0.8290
Iteration 600: avg reward is 0.6645, channel utilization is 0.8370
Iteration 700: avg reward is 0.6863, channel utilization is 0.8810
Iteration 800: avg reward is 0.6997, channel utilization is 0.8970
Iteration 900: avg reward is 0.7105, channel utilization is 0.9280
Iteration 1000: avg reward is 0.7345, channel utilization is 0.9720
Iteration 1100: avg reward is 0.7238, channel utilization is 0.9470
Iteration 1200: avg reward is 0.7222, channel utilization is 0.9410
Iteration 1300: avg reward is 0.7210, channel utilization is 0.9460
Iteration 1400: avg reward is 0.7222, channel utilization is 0.9470
Iteration 1500: avg reward is 0.7260, channel utilization is 0.9560
Iteration 1600: avg reward is 0.7232, channel utilization is 0.9500
Iteration 1700: avg reward is 0.7188, channel utilization is 0.9450
Iteration 1800: avg reward is 0.7220, channel utilization is 0.9500
Iteration 1900: avg reward is 0.7195, channel utilization is 0.9490
Iteration 2000: avg reward is 0.7177, channel utilization is 0.9430
Iteration 2100: avg reward is 0.7242, channel utilization is 0.9530
Iteration 2200: avg reward is 0.7282, channel utilization is 0.9590
Iteration 2300: avg reward is 0.7255, channel utilization is 0.9580
Iteration 2400: avg reward is 0.7288, channel utilization is 0.9630
Iteration 2500: avg reward is 0.7242, channel utilization is 0.9530
Iteration 2600: avg reward is 0.7265, channel utilization is 0.9590
Iteration 2700: avg reward is 0.7252, channel utilization is 0.9530
Iteration 2800: avg reward is 0.7195, channel utilization is 0.9440
Iteration 2900: avg reward is 0.7295, channel utilization is 0.9600
Iteration 3000: avg reward is 0.7270, channel utilization is 0.9540
Iteration 3100: avg reward is 0.7280, channel utilization is 0.9620
Iteration 3200: avg reward is 0.7248, channel utilization is 0.9540
Iteration 3300: avg reward is 0.7198, channel utilization is 0.9450
Iteration 3400: avg reward is 0.7212, channel utilization is 0.9450
Iteration 3500: avg reward is 0.7268, channel utilization is 0.9560
